Indice     Mes          Temp_Max          Temp_Min       Lluvia     Visibilidad
                        [°C]              [°C]           [mm]       [km]
1          enero        29.3              17.8           22.86      9.9
2          febrero      30.2              19.1           230.89     9.4
3          marzo        26.4              15.9           90.92      9.5
4          abril        22.2              12.1           33.02      8.7
5          mayo         16.3              5.6            9.30       8.5
6          junio        17.9              6.7            40.13      8.5
7          julio        15.0              0.8            2.03       7.7
8          agosto       16.6              5.6            45.97      8.6
9          septiembre   21.2              8.2            30.22      9.1
10         octubre      24.7              12.4           14.48      9.3
11         noviembre    26.8              15.1           7.11       9.4
12         diciembre    27.1              13.5           41.40      9.7
